RESP_FINAL;CATEGORY;A1R
2160;Dark;5
2002;Medium;1
2006;Dark;1
2150;Dark;3
2022;Medium;1
2075;Dark;2
2175;Dark;1
2252;Dark;5
2076;Light;1
2113;Medium;1
2193;Medium;5
2229;Dark;5
2047;Dark;2
2046;Dark;2
2003;Dark;1
2116;Light;2
2091;Light;2
2048;Dark;2
2137;Dark;4
2144;Dark;2
2039;Medium;3
2073;Dark;2
2074;Dark;2
2226;Dark;6
2251;Dark;6
2103;Light;3
2072;Medium;2
2257;Dark;6
2256;Dark;6
2182;Dark;5
2049;Light;2
2231;Dark;6
2258;Dark;4
2051;Medium;1
2005;Dark;1
2105;Medium;3
2110;Medium;3
2009;Dark;1
2010;Dark;1
2259;Dark;6
2170;Medium;5
2097;Dark;3
2052;Dark;2
2236;Dark;6
2053;Dark;3
2161;Dark;4
4164;Dark;5
4104;Dark;3
4055;Dark;2
4105;Dark;3
4134;Dark;4
4217;Dark;6
4057;Light;2
4135;Dark;4
4058;Dark;2
4108;Dark;3
4017;Light;1
4107;Dark;3
4018;Dark;1
4059;Medium;2
2119;Dark;3
2011;Light;1
2234;Dark;6
2050;Dark;1
2054;Light;2
2055;Medium;2
2260;Dark;6
2261;Medium;6
1055;Medium;2
1054;Dark;2
2262;Dark;6
2056;Dark;4
2100;Medium;3
2265;Dark;6
4138;Dark;4
4019;Dark;1
4109;Dark;3
2264;Dark;6
2013;Light;4
2014;Dark;1
2263;Medium;6
4219;Dark;6
4218;Dark;6
4110;Medium;3
1103;Dark;2
1051;Dark;2
1111;Dark;2
2071;Dark;2
2266;Dark;6
1123;Dark;3
1010;Dark;1
2171;Dark;2
1073;Dark;2
1128;Medium;3
4020;Medium;1
1092;Dark;2
2194;Dark;5
4021;Light;1
1088;Medium;3
2016;Dark;1
1127;Dark;3
2019;Medium;1
2015;Medium;1
4060;Dark;2
2023;Dark;1
4022;Medium;1
4061;Medium;2
4062;Dark;2
4115;Dark;3
1064;Medium;2
1098;Light;3
1070;Medium;2
2024;Medium;1
1104;Dark;2
1005;Light;1
2267;Dark;6
1062;Light;2
1096;Medium;2
2025;Light;1
1089;Dark;2
2026;Light;1
1097;Medium;3
2214;Dark;6
1115;Medium;2
2213;Dark;5
2058;Medium;2
1050;Medium;2
2059;Dark;2
2212;Light;5
2028;Medium;1
2135;Light;3
1087;Dark;2
1125;Dark;3
1094;Dark;2
1067;Light;2
1014;Medium;1
2138;Dark;4
1132;Dark;3
2029;Dark;1
1057;Medium;2
2196;Dark;5
1013;Medium;1
2030;Medium;1
2211;Dark;5
1003;Light;1
1084;Dark;3
1082;Dark;2
2031;Light;1
4023;Medium;1
2197;Dark;5
2032;Medium;1
4116;Dark;3
1059;Dark;2
1053;Dark;2
2198;Dark;5
2243;Dark;6
2210;Dark;5
4070;Dark;2
4069;Light;2
4141;Dark;4
4024;Dark;1
4025;Light;1
4026;Light;1
4073;Dark;2
1121;Medium;4
1116;Light;2
1075;Medium;2
1105;Light;2
1009;Medium;1
1043;Dark;2
2057;Light;2
1035;Light;1
1068;Medium;1
1069;Dark;2
1066;Light;2
2200;Dark;5
2201;Dark;5
1008;Medium;1
1047;Medium;2
1061;Light;2
1071;Dark;2
1122;Medium;4
1030;Light;1
1016;Medium;1
1056;Medium;2
1130;Dark;2
1133;Medium;3
1063;Medium;2
1001;Dark;1
2060;Dark;2
1017;Dark;1
1018;Medium;1
2061;Medium;4
2227;Dark;6
2062;Dark;2
2195;Medium;5
2063;Dark;2
2184;Medium;5
2204;Medium;5
2202;Dark;5
2033;Dark;1
2203;Dark;5
2034;Dark;1
2065;Dark;2
2066;Light;2
2064;Dark;2
2068;Dark;2
2067;Medium;2
2206;Dark;5
2207;Dark;5
2208;Dark;5
1085;Dark;3
1093;Light;2
1076;Light;2
1052;Dark;2
1022;Dark;1
1078;Dark;2
1100;Medium;3
1126;Medium;3
1049;Medium;2
1146;Light;2
1099;Medium;1
1080;Dark;2
1026;Dark;1
1021;Dark;1
1072;Dark;2
1129;Medium;4
1065;Dark;2
1077;Dark;2
1048;Medium;2
1024;Medium;1
1027;Medium;1
1135;Dark;3
1006;Dark;1
1112;Dark;3
2035;Dark;1
2036;Dark;1
2038;Medium;2
2037;Dark;1
2087;Light;2
2209;Dark;5
2248;Dark;6
2244;Dark;5
2070;Dark;5
2237;Dark;6
2157;Dark;4
2156;Medium;3
2245;Dark;6
2151;Dark;4
2240;Dark;4
2027;Dark;1
2250;Dark;3
2086;Light;2
2080;Dark;6
4144;Dark;4
4118;Medium;2
2079;Dark;2
4077;Medium;2
4027;Dark;1
4143;Dark;4
4142;Light;4
2101;Medium;2
2090;Medium;2
2107;Dark;3
2166;Dark;4
2122;Medium;4
2069;Light;2
2136;Dark;4
2145;Dark;4
2147;Dark;2
2168;Medium;5
2158;Medium;3
2215;Dark;6
2169;Dark;4
2123;Dark;4
2099;Dark;2
2102;Dark;2
2235;Dark;6
2095;Light;3
2096;Dark;3
2128;Dark;4
4078;Dark;2
2106;Light;2
4165;Dark;5
2114;Light;3
2108;Light;3
2111;Light;3
2112;Medium;3
2093;Dark;2
2121;Dark;4
2120;Dark;4
2140;Dark;4
2118;Medium;3
2129;Medium;3
2149;Dark;4
2218;Medium;6
2246;Dark;6
2199;Dark;2
2238;Dark;6
2173;Dark;6
2115;Medium;3
2125;Light;2
2126;Medium;3
2146;Dark;6
2230;Dark;3
2249;Dark;4
2133;Light;4
2172;Light;2
